0,1,2,3,4,5,6,7,8,9,class
1.0,1.52101,13.64,4.49,1.1,71.78,0.06,8.75,0.0,0.0,1
2.0,1.51761,13.89,3.6,1.36,72.73,0.48,7.83,0.0,0.0,1
3.0,1.51618,13.53,3.55,1.54,72.99,0.39,7.78,0.0,0.0,1
4.0,1.51766,13.21,3.69,1.29,72.61,0.57,8.22,0.0,0.0,1
5.0,1.51742,13.27,3.62,1.24,73.08,0.55,8.07,0.0,0.0,1
6.0,1.51596,12.79,3.61,1.62,72.97,0.64,8.07,0.0,0.26,1
7.0,1.51743,13.3,3.6,1.14,73.09,0.58,8.17,0.0,0.0,1
8.0,1.51756,13.15,3.61,1.05,73.24,0.57,8.24,0.0,0.0,1
9.0,1.51918,14.04,3.58,1.37,72.08,0.56,8.3,0.0,0.0,1
10.0,1.51755,13.0,3.6,1.36,72.99,0.57,8.4,0.0,0.11,1
11.0,1.51571,12.72,3.46,1.56,73.2,0.67,8.09,0.0,0.24,1
12.0,1.51763,12.8,3.66,1.27,73.01,0.6,8.56,0.0,0.0,1
13.0,1.51589,12.88,3.43,1.4,73.28,0.69,8.05,0.0,0.24,1
14.0,1.51748,12.86,3.56,1.27,73.21,0.54,8.38,0.0,0.17,1
15.0,1.51763,12.61,3.59,1.31,73.29,0.58,8.5,0.0,0.0,1
16.0,1.51761,12.81,3.54,1.23,73.24,0.58,8.39,0.0,0.0,1
17.0,1.51784,12.68,3.67,1.16,73.11,0.61,8.7,0.0,0.0,1
18.0,1.52196,14.36,3.85,0.89,71.36,0.15,9.15,0.0,0.0,1
19.0,1.51911,13.9,3.73,1.18,72.12,0.06,8.89,0.0,0.0,1
20.0,1.51735,13.02,3.54,1.69,72.73,0.54,8.44,0.0,0.07,1
21.0,1.5175,12.82,3.55,1.49,72.75,0.54,8.52,0.0,0.19,1
22.0,1.51966,14.77,3.75,0.29,72.02,0.03,9.0,0.0,0.0,1
23.0,1.51736,12.78,3.62,1.29,72.79,0.59,8.7,0.0,0.0,1
24.0,1.51751,12.81,3.57,1.35,73.02,0.62,8.59,0.0,0.0,1
25.0,1.5172,13.38,3.5,1.15,72.85,0.5,8.43,0.0,0.0,1
26.0,1.51764,12.98,3.54,1.21,73.0,0.65,8.53,0.0,0.0,1
27.0,1.51793,13.21,3.48,1.41,72.64,0.59,8.43,0.0,0.0,1
28.0,1.51721,12.87,3.48,1.33,73.04,0.56,8.43,0.0,0.0,1
29.0,1.51768,12.56,3.52,1.43,73.15,0.57,8.54,0.0,0.0,1
30.0,1.51784,13.08,3.49,1.28,72.86,0.6,8.49,0.0,0.0,1
31.0,1.51768,12.65,3.56,1.3,73.08,0.61,8.69,0.0,0.14,1
32.0,1.51747,12.84,3.5,1.14,73.27,0.56,8.55,0.0,0.0,1
33.0,1.51775,12.85,3.48,1.23,72.97,0.61,8.56,0.09,0.22,1
34.0,1.51753,12.57,3.47,1.38,73.39,0.6,8.55,0.0,0.06,1
35.0,1.51783,12.69,3.54,1.34,72.95,0.57,8.75,0.0,0.0,1
36.0,1.51567,13.29,3.45,1.21,72.74,0.56,8.57,0.0,0.0,1
37.0,1.51909,13.89,3.53,1.32,71.81,0.51,8.78,0.11,0.0,1
38.0,1.51797,12.74,3.48,1.35,72.96,0.64,8.68,0.0,0.0,1
39.0,1.52213,14.21,3.82,0.47,71.77,0.11,9.57,0.0,0.0,1
40.0,1.52213,14.21,3.82,0.47,71.77,0.11,9.57,0.0,0.0,1
41.0,1.51793,12.79,3.5,1.12,73.03,0.64,8.77,0.0,0.0,1
42.0,1.51755,12.71,3.42,1.2,73.2,0.59,8.64,0.0,0.0,1
43.0,1.51779,13.21,3.39,1.33,72.76,0.59,8.59,0.0,0.0,1
44.0,1.5221,13.73,3.84,0.72,71.76,0.17,9.74,0.0,0.0,1
45.0,1.51786,12.73,3.43,1.19,72.95,0.62,8.76,0.0,0.3,1
46.0,1.519,13.49,3.48,1.35,71.95,0.55,9.0,0.0,0.0,1
47.0,1.51869,13.19,3.37,1.18,72.72,0.57,8.83,0.0,0.16,1
48.0,1.52667,13.99,3.7,0.71,71.57,0.02,9.82,0.0,0.1,1
49.0,1.52223,13.21,3.77,0.79,71.99,0.13,10.02,0.0,0.0,1
50.0,1.51898,13.58,3.35,1.23,72.08,0.59,8.91,0.0,0.0,1
51.0,1.5232,13.72,3.72,0.51,71.75,0.09,10.06,0.0,0.16,1
52.0,1.51926,13.2,3.33,1.28,72.36,0.6,9.14,0.0,0.11,1
53.0,1.51808,13.43,2.87,1.19,72.84,0.55,9.03,0.0,0.0,1
54.0,1.51837,13.14,2.84,1.28,72.85,0.55,9.07,0.0,0.0,1
55.0,1.51778,13.21,2.81,1.29,72.98,0.51,9.02,0.0,0.09,1
56.0,1.51769,12.45,2.71,1.29,73.7,0.56,9.06,0.0,0.24,1
57.0,1.51215,12.99,3.47,1.12,72.98,0.62,8.35,0.0,0.31,1
58.0,1.51824,12.87,3.48,1.29,72.95,0.6,8.43,0.0,0.0,1
59.0,1.51754,13.48,3.74,1.17,72.99,0.59,8.03,0.0,0.0,1
60.0,1.51754,13.39,3.66,1.19,72.79,0.57,8.27,0.0,0.11,1
61.0,1.51905,13.6,3.62,1.11,72.64,0.14,8.76,0.0,0.0,1
62.0,1.51977,13.81,3.58,1.32,71.72,0.12,8.67,0.69,0.0,1
63.0,1.52172,13.51,3.86,0.88,71.79,0.23,9.54,0.0,0.11,1
64.0,1.52227,14.17,3.81,0.78,71.35,0.0,9.69,0.0,0.0,1
65.0,1.52172,13.48,3.74,0.9,72.01,0.18,9.61,0.0,0.07,1
66.0,1.52099,13.69,3.59,1.12,71.96,0.09,9.4,0.0,0.0,1
67.0,1.52152,13.05,3.65,0.87,72.22,0.19,9.85,0.0,0.17,1
68.0,1.52152,13.05,3.65,0.87,72.32,0.19,9.85,0.0,0.17,1
69.0,1.52152,13.12,3.58,0.9,72.2,0.23,9.82,0.0,0.16,1
70.0,1.523,13.31,3.58,0.82,71.99,0.12,10.17,0.0,0.03,1
56.776315789473685,1.52036227518797,13.540212030075187,3.5897812030075187,1.1169466165413533,72.16142706766917,0.20386015037593985,9.234659398496243,0.0038142857142857145,0.022257894736842115,1
41.92894736842105,1.5190547488721804,13.104738345864662,3.5573601503759398,1.0782624060150374,72.5876902255639,0.46875488721804504,8.987817293233084,0.0038142857142857145,0.16078421052631578,1
29.697368421052634,1.518060380451128,13.169580451127821,3.5017285714285715,1.3243676691729322,72.69269022556391,0.5428075187969924,8.540185714285714,0.0038142857142857145,0.017100000000000004,1
51.32368421052632,1.5183319067669172,13.026633082706768,3.520886466165414,1.2433150375939848,72.85369022556391,0.5534917293233081,8.510712030075188,0.0038142857142857145,0.017100000000000004,1
17.907894736842106,1.517425959398496,13.000475187969926,3.549623308270677,1.3527360902255638,72.93290075187969,0.5590180451127819,8.439238345864663,0.0038142857142857145,0.12762631578947367,1
44.80263157894737,1.5218308015037594,13.33463308270677,3.6944127819548878,0.8903676691729323,72.11684812030074,0.20901804511278196,9.623712030075188,0.0038142857142857145,0.03183684210526316,1
11.828947368421051,1.518694064661654,13.640422556390979,3.782465413533835,1.2436834586466166,72.48674285714286,0.3773864661654135,8.323554135338346,0.0038142857142857145,0.017100000000000004,1
47.52894736842106,1.518532327819549,13.322843609022556,3.1764127819548875,1.202051879699248,72.66763759398496,0.5302812030075188,8.9845015037594,0.0038142857142857145,0.04141578947368422,1
38.79736842105263,1.5204875383458647,13.710422556390977,3.6925706766917292,0.7739466165413533,72.21042706766917,0.28933383458646617,9.220290977443609,0.0038142857142857145,0.017100000000000004,1
54.97105263157894,1.5209410646616541,13.57558045112782,3.7566759398496243,0.9430518796992481,71.9414796992481,0.24438646616541354,9.350343609022557,0.0038142857142857145,0.0697842105263158,1
50.8078947368421,1.515691064661654,13.034738345864662,3.4973075187969926,1.1769992481203007,72.86400601503759,0.5630706766917293,8.504817293233083,0.0038142857142857145,0.15415263157894735,1
32.828947368421055,1.5178909067669173,12.918685714285715,3.5289917293233084,1.1825255639097745,73.03274285714285,0.5372812030075188,8.655133082706769,0.0038142857142857145,0.048047368421052644,1
23.13947368421053,1.520532117293233,13.839001503759398,3.740833834586466,1.0019992481203008,71.93116390977443,0.29007067669172937,8.994448872180453,0.0038142857142857145,0.017100000000000004,1
15.439473684210526,1.5176540120300752,13.226317293233084,3.586833834586466,1.2002097744360902,72.93547969924812,0.5468601503759398,8.347133082706769,0.0038142857142857145,0.04583684210526317,1
15.77105263157895,1.517845222556391,13.249527819548874,3.587939097744361,1.1272624060150376,72.98190075187969,0.5380180451127818,8.373659398496242,0.0038142857142857145,0.017100000000000004,1
21.55526315789474,1.5179483804511278,12.880738345864664,3.5584654135338347,1.233736090225564,73.06847969924812,0.5402285714285714,8.544606766917294,0.0038142857142857145,0.017100000000000004,1
45.31842105263158,1.519979117293233,13.3560015037594,3.5499917293233083,1.0642624060150374,72.2119007518797,0.3947022556390977,9.244238345864662,0.0038142857142857145,0.017100000000000004,1
57.771052631578954,1.5206794857142858,13.107685714285715,3.6207285714285717,0.9581571428571428,72.36184812030075,0.2672285714285714,9.534185714285716,0.0038142857142857145,0.1361,1
13.044736842105262,1.5173776962406016,13.34936992481203,3.591991729323308,1.353472932330827,72.76674285714286,0.46028120300751874,8.214869924812032,0.0038142857142857145,0.017100000000000004,1
26.38157894736842,1.5186148541353386,13.651843609022556,3.6476233082706773,0.8837360902255639,72.45505864661655,0.3409127819548872,8.839712030075189,0.0038142857142857145,0.017100000000000004,1
43.992105263157896,1.5222264857142858,13.55936992481203,3.570623308270677,0.9673676691729323,72.18132180451127,0.29007067669172937,9.25786992481203,0.0038142857142857145,0.10257368421052632,1
57.10789473684211,1.5216421699248122,13.301843609022558,3.6052548872180457,0.9334729323308271,72.17100601503759,0.21601804511278194,9.705869924812031,0.0038142857142857145,0.03699473684210526,1
31.65,1.5181034857142859,13.128685714285714,3.5087285714285716,1.2451571428571429,72.78774285714286,0.5542285714285714,8.582185714285716,0.0038142857142857145,0.017100000000000004,1
40.2342105263158,1.5179446962406018,12.961790977443611,3.4542022556390983,1.2131045112781955,72.94469022556392,0.5472285714285715,8.677975187969926,0.0038142857142857145,0.017100000000000004,1
52.79736842105264,1.5181160120300752,13.376633082706768,3.6218338345864662,1.1703676691729323,72.71663759398497,0.4698601503759398,8.500396240601505,0.0038142857142857145,0.07788947368421054,1
31.871052631578948,1.518068117293233,13.033633082706768,3.524202255639098,1.2495781954887217,72.83637443609022,0.5564390977443608,8.626396240601505,0.0038142857142857145,0.04804736842105264,1
52.20789473684209,1.5178934857142856,13.385475187969924,3.663096992481203,1.1733150375939847,72.82716390977443,0.5420706766917291,8.32208045112782,0.0038142857142857145,0.045468421052631575,1
24.576315789473686,1.517890169924812,13.151527819548871,3.5577285714285716,1.4945781954887216,72.6517954887218,0.4768601503759398,8.580343609022556,0.0038142857142857145,0.06094210526315789,1
31.76052631578947,1.5180858015037593,13.08115939849624,3.5164654135338345,1.2473676691729323,72.81205864661653,0.5553338345864661,8.60429097744361,0.0038142857142857145,0.03257368421052631,1
30.692105263157895,1.51787027518797,12.844633082706768,3.519412781954887,1.3243676691729322,72.96237443609023,0.5306496240601503,8.588817293233083,0.0038142857142857145,0.017100000000000004,1
